Topic,Term,Probability
0,day,0.108
0,body,0.06
0,fat,0.057
0,start,0.036
0,liver,0.033
0,inflammation,0.021
0,gut,0.018
0,reduce,0.018
0,simple_step,0.015
0,medical,0.014
1,stop,0.046
1,cause,0.042
1,heart,0.031
1,brain,0.024
1,kind,0.021
1,reason,0.021
1,diabete,0.02
1,level,0.02
1,lose_weight,0.017
1,steak,0.017
2,oil,0.105
2,seed,0.058
2,look,0.044
2,healthy,0.041
2,raw,0.035
2,contain,0.027
2,egg,0.022
2,year,0.022
2,disease,0.021
2,life,0.019
3,healthtip,0.054
3,health,0.052
3,happen,0.033
3,avoid,0.026
3,improve,0.024
3,cancer,0.02
3,butter,0.02
3,calorie,0.017
3,optimal,0.016
3,antioxidant,0.015
4,nutrient,0.061
4,weight_loss,0.031
4,well,0.021
4,burger,0.02
4,challenge,0.019
4,root,0.018
4,cause,0.018
4,superfood,0.017
4,load,0.014
4,effect,0.014
5,base,0.072
5,meat,0.058
5,animal,0.054
5,plant,0.051
5,fruit,0.03
5,vegetable,0.024
5,diet,0.024
5,human,0.022
5,vegan,0.02
5,let,0.018
6,tip,0.079
6,sleep,0.033
6,hack,0.028
6,deficiency,0.025
6,doctor,0.024
6,chocolate,0.022
6,chronic,0.016
6,quick,0.016
6,intermittent_fast,0.014
6,head,0.013
7,need,0.045
7,breakfast,0.035
7,soda,0.031
7,prove,0.027
7,broccoli,0.024
7,rid,0.022
7,focus,0.021
7,issue,0.02
7,energy,0.018
7,fight,0.018
8,food,0.089
8,eat,0.066
8,health,0.053
8,number,0.038
8,know,0.028
8,diet,0.023
8,want,0.022
8,good,0.021
8,go,0.02
8,get,0.019
9,drink,0.083
9,water,0.055
9,vitamin,0.041
9,use,0.031
9,kill,0.022
9,lead,0.019
9,natural,0.016
9,immune_system,0.016
9,feed,0.014
9,essential,0.013
